seed,sample_size,language,runtime_min,peak_memory_MB
5,500,Julia,0.53,832.38
5,500,R,0.07,378.8
seed,sample_size,language,runtime_min,peak_memory_MB
6,500,Julia,0.55,834.04
6,500,R,0.07,372.01
seed,sample_size,language,runtime_min,peak_memory_MB
3,500,Julia,0.59,848.92
3,500,R,0.09,376.64
seed,sample_size,language,runtime_min,peak_memory_MB
4,500,Julia,0.6,838.63
4,500,R,0.08,383.26
seed,sample_size,language,runtime_min,peak_memory_MB
2,500,Julia,0.61,839.89
2,500,R,0.08,385.16
seed,sample_size,language,runtime_min,peak_memory_MB
21,500,Julia,0.61,830.04
21,500,R,0.08,366.36
seed,sample_size,language,runtime_min,peak_memory_MB
22,500,Julia,0.61,825.01
22,500,R,0.08,375.47
seed,sample_size,language,runtime_min,peak_memory_MB
25,500,Julia,0.61,822.36
25,500,R,0.08,383.56
seed,sample_size,language,runtime_min,peak_memory_MB
20,500,Julia,0.61,836.12
20,500,R,0.08,383.32
seed,sample_size,language,runtime_min,peak_memory_MB
23,500,Julia,0.61,844.2
23,500,R,0.08,383.96
seed,sample_size,language,runtime_min,peak_memory_MB
24,500,Julia,0.61,839.64
24,500,R,0.08,383.08
seed,sample_size,language,runtime_min,peak_memory_MB
18,500,Julia,0.64,837.74
18,500,R,0.08,383.71
seed,sample_size,language,runtime_min,peak_memory_MB
19,500,Julia,0.64,847.75
19,500,R,0.08,365.64
seed,sample_size,language,runtime_min,peak_memory_MB
17,500,Julia,0.64,848.64
17,500,R,0.08,383.93
seed,sample_size,language,runtime_min,peak_memory_MB
26,500,Julia,0.65,836.97
26,500,R,0.08,376.17
seed,sample_size,language,runtime_min,peak_memory_MB
27,500,Julia,0.66,827.59
27,500,R,0.09,371.68
seed,sample_size,language,runtime_min,peak_memory_MB
1,500,Julia,0.65,845.48
1,500,R,0.1,383.7
seed,sample_size,language,runtime_min,peak_memory_MB
28,500,Julia,0.66,842.52
28,500,R,0.09,373.71
seed,sample_size,language,runtime_min,peak_memory_MB
29,500,Julia,0.7,836.4
29,500,R,0.09,383.58
seed,sample_size,language,runtime_min,peak_memory_MB
49,500,Julia,0.7,819.74
49,500,R,0.1,370.06
seed,sample_size,language,runtime_min,peak_memory_MB
13,500,Julia,0.71,836.55
13,500,R,0.09,381.37
seed,sample_size,language,runtime_min,peak_memory_MB
14,500,Julia,0.71,839.57
14,500,R,0.1,383.52
seed,sample_size,language,runtime_min,peak_memory_MB
31,500,Julia,0.7,862.97
31,500,R,0.09,383.35
seed,sample_size,language,runtime_min,peak_memory_MB
45,500,Julia,0.71,864.04
45,500,R,0.09,378.66
seed,sample_size,language,runtime_min,peak_memory_MB
33,500,Julia,0.71,868.7
33,500,R,0.09,383.54
seed,sample_size,language,runtime_min,peak_memory_MB
43,500,Julia,0.71,866.16
43,500,R,0.09,377.54
seed,sample_size,language,runtime_min,peak_memory_MB
39,500,Julia,0.71,872.52
39,500,R,0.09,383.53
seed,sample_size,language,runtime_min,peak_memory_MB
37,500,Julia,0.71,863.77
37,500,R,0.09,366.44
seed,sample_size,language,runtime_min,peak_memory_MB
38,500,Julia,0.71,864.05
38,500,R,0.09,377.59
seed,sample_size,language,runtime_min,peak_memory_MB
34,500,Julia,0.71,864.46
34,500,R,0.09,376.7
seed,sample_size,language,runtime_min,peak_memory_MB
41,500,Julia,0.71,865.36
41,500,R,0.09,383.57
seed,sample_size,language,runtime_min,peak_memory_MB
44,500,Julia,0.71,865.32
44,500,R,0.09,383.27
seed,sample_size,language,runtime_min,peak_memory_MB
40,500,Julia,0.71,869.48
40,500,R,0.09,377.71
seed,sample_size,language,runtime_min,peak_memory_MB
