seed,sample_size,language,runtime_min,peak_memory_MB
21,500,Julia,0.78,877.2
21,500,R,0.08,392.93
seed,sample_size,language,runtime_min,peak_memory_MB
20,500,Julia,0.79,862.57
20,500,R,0.08,383.98
seed,sample_size,language,runtime_min,peak_memory_MB
13,500,Julia,0.83,872.11
13,500,R,0.08,390.81
seed,sample_size,language,runtime_min,peak_memory_MB
12,500,Julia,0.83,844.93
12,500,R,0.08,384.07
seed,sample_size,language,runtime_min,peak_memory_MB
14,500,Julia,0.85,875.8
14,500,R,0.09,383.33
seed,sample_size,language,runtime_min,peak_memory_MB
11,500,Julia,0.84,863.14
11,500,R,0.08,382.83
seed,sample_size,language,runtime_min,peak_memory_MB
35,500,Julia,0.87,865.71
35,500,R,0.09,390.84
seed,sample_size,language,runtime_min,peak_memory_MB
34,500,Julia,0.88,904.16
34,500,R,0.09,379.3
seed,sample_size,language,runtime_min,peak_memory_MB
70,500,Julia,0.87,907.33
70,500,R,0.11,391.34
seed,sample_size,language,runtime_min,peak_memory_MB
33,500,Julia,0.88,899.05
33,500,R,0.09,383.8
seed,sample_size,language,runtime_min,peak_memory_MB
71,500,Julia,0.87,898.7
71,500,R,0.11,379.76
seed,sample_size,language,runtime_min,peak_memory_MB
51,500,Julia,0.88,899.57
51,500,R,0.09,391.2
seed,sample_size,language,runtime_min,peak_memory_MB
53,500,Julia,0.88,874.27
53,500,R,0.09,385.34
seed,sample_size,language,runtime_min,peak_memory_MB
52,500,Julia,0.88,862.5
52,500,R,0.09,391.6
seed,sample_size,language,runtime_min,peak_memory_MB
50,500,Julia,0.89,885.72
50,500,R,0.09,384.04
seed,sample_size,language,runtime_min,peak_memory_MB
69,500,Julia,0.9,855.26
69,500,R,0.11,390.51
seed,sample_size,language,runtime_min,peak_memory_MB
49,500,Julia,0.91,892.68
49,500,R,0.09,391.0
seed,sample_size,language,runtime_min,peak_memory_MB
43,500,Julia,0.97,848.93
43,500,R,0.1,391.59
seed,sample_size,language,runtime_min,peak_memory_MB
46,500,Julia,0.97,939.61
46,500,R,0.1,392.84
seed,sample_size,language,runtime_min,peak_memory_MB
48,500,Julia,0.97,935.43
48,500,R,0.1,383.85
seed,sample_size,language,runtime_min,peak_memory_MB
41,500,Julia,0.97,959.95
41,500,R,0.1,383.72
seed,sample_size,language,runtime_min,peak_memory_MB
40,500,Julia,0.97,882.93
40,500,R,0.1,390.01
seed,sample_size,language,runtime_min,peak_memory_MB
44,500,Julia,0.97,963.54
44,500,R,0.1,390.54
seed,sample_size,language,runtime_min,peak_memory_MB
47,500,Julia,0.97,857.96
47,500,R,0.1,390.8
seed,sample_size,language,runtime_min,peak_memory_MB
45,500,Julia,0.97,859.3
45,500,R,0.1,390.5
seed,sample_size,language,runtime_min,peak_memory_MB
42,500,Julia,0.98,925.39
42,500,R,0.11,390.57
seed,sample_size,language,runtime_min,peak_memory_MB
15,500,Julia,1.01,864.36
15,500,R,0.11,384.19
seed,sample_size,language,runtime_min,peak_memory_MB
76,500,Julia,1.02,960.46
76,500,R,0.11,390.77
seed,sample_size,language,runtime_min,peak_memory_MB
86,500,Julia,1.02,867.03
86,500,R,0.11,393.23
seed,sample_size,language,runtime_min,peak_memory_MB
74,500,Julia,1.02,957.97
74,500,R,0.11,390.86
seed,sample_size,language,runtime_min,peak_memory_MB
88,500,Julia,1.02,863.53
88,500,R,0.11,383.09
seed,sample_size,language,runtime_min,peak_memory_MB
75,500,Julia,1.01,961.08
75,500,R,0.11,389.84
seed,sample_size,language,runtime_min,peak_memory_MB
80,500,Julia,1.02,870.14
80,500,R,0.11,391.91
seed,sample_size,language,runtime_min,peak_memory_MB
81,500,Julia,1.02,869.76
81,500,R,0.11,378.35
seed,sample_size,language,runtime_min,peak_memory_MB
79,500,Julia,1.02,874.02
79,500,R,0.11,390.48
seed,sample_size,language,runtime_min,peak_memory_MB
73,500,Julia,1.03,866.27
73,500,R,0.11,390.35
seed,sample_size,language,runtime_min,peak_memory_MB
89,500,Julia,1.02,954.24
89,500,R,0.11,386.32
seed,sample_size,language,runtime_min,peak_memory_MB
82,500,Julia,1.03,881.91
82,500,R,0.11,390.0
seed,sample_size,language,runtime_min,peak_memory_MB
78,500,Julia,1.03,954.57
78,500,R,0.11,383.86
seed,sample_size,language,runtime_min,peak_memory_MB
72,500,Julia,1.03,875.34
72,500,R,0.11,389.88
seed,sample_size,language,runtime_min,peak_memory_MB
77,500,Julia,1.03,952.27
77,500,R,0.11,390.21
seed,sample_size,language,runtime_min,peak_memory_MB
87,500,Julia,1.03,894.88
87,500,R,0.11,390.72
seed,sample_size,language,runtime_min,peak_memory_MB
83,500,Julia,1.03,862.35
83,500,R,0.11,383.72
seed,sample_size,language,runtime_min,peak_memory_MB
85,500,Julia,1.03,958.35
85,500,R,0.11,389.89
seed,sample_size,language,runtime_min,peak_memory_MB
84,500,Julia,1.04,928.25
84,500,R,0.12,384.21
seed,sample_size,language,runtime_min,peak_memory_MB
19,500,Julia,1.04,907.05
19,500,R,0.11,383.91
seed,sample_size,language,runtime_min,peak_memory_MB
18,500,Julia,1.06,877.76
18,500,R,0.11,385.48
seed,sample_size,language,runtime_min,peak_memory_MB
67,500,Julia,1.1,884.16
67,500,R,0.11,390.44
seed,sample_size,language,runtime_min,peak_memory_MB
61,500,Julia,1.1,863.2
61,500,R,0.12,391.42
seed,sample_size,language,runtime_min,peak_memory_MB
55,500,Julia,1.1,876.43
55,500,R,0.12,387.34
seed,sample_size,language,runtime_min,peak_memory_MB
62,500,Julia,1.1,888.78
62,500,R,0.12,390.0
seed,sample_size,language,runtime_min,peak_memory_MB
65,500,Julia,1.1,886.03
65,500,R,0.12,389.73
seed,sample_size,language,runtime_min,peak_memory_MB
59,500,Julia,1.11,865.7
59,500,R,0.12,391.07
seed,sample_size,language,runtime_min,peak_memory_MB
58,500,Julia,1.11,885.19
58,500,R,0.12,390.13
seed,sample_size,language,runtime_min,peak_memory_MB
56,500,Julia,1.11,891.13
56,500,R,0.12,389.81
seed,sample_size,language,runtime_min,peak_memory_MB
68,500,Julia,1.11,880.41
68,500,R,0.13,384.54
seed,sample_size,language,runtime_min,peak_memory_MB
63,500,Julia,1.11,862.97
63,500,R,0.12,384.4
seed,sample_size,language,runtime_min,peak_memory_MB
54,500,Julia,1.11,863.87
54,500,R,0.12,383.77
seed,sample_size,language,runtime_min,peak_memory_MB
64,500,Julia,1.11,861.32
64,500,R,0.12,378.77
seed,sample_size,language,runtime_min,peak_memory_MB
60,500,Julia,1.12,861.38
60,500,R,0.12,390.41
seed,sample_size,language,runtime_min,peak_memory_MB
66,500,Julia,1.11,890.97
66,500,R,0.12,390.12
seed,sample_size,language,runtime_min,peak_memory_MB
57,500,Julia,1.12,874.55
57,500,R,0.13,390.23
seed,sample_size,language,runtime_min,peak_memory_MB
38,500,Julia,1.12,908.63
38,500,R,0.12,391.31
seed,sample_size,language,runtime_min,peak_memory_MB
37,500,Julia,1.13,905.13
37,500,R,0.12,390.34
seed,sample_size,language,runtime_min,peak_memory_MB
39,500,Julia,1.14,904.46
39,500,R,0.12,389.63
seed,sample_size,language,runtime_min,peak_memory_MB
94,500,Julia,1.05,845.16
94,500,R,0.06,391.34
seed,sample_size,language,runtime_min,peak_memory_MB
99,500,Julia,1.05,852.04
99,500,R,0.06,390.67
seed,sample_size,language,runtime_min,peak_memory_MB
96,500,Julia,1.05,829.64
96,500,R,0.06,384.3
seed,sample_size,language,runtime_min,peak_memory_MB
93,500,Julia,1.05,819.2
93,500,R,0.05,390.14
seed,sample_size,language,runtime_min,peak_memory_MB
95,500,Julia,1.05,834.42
95,500,R,0.05,390.12
seed,sample_size,language,runtime_min,peak_memory_MB
97,500,Julia,1.06,852.18
97,500,R,0.06,382.96
seed,sample_size,language,runtime_min,peak_memory_MB
98,500,Julia,1.06,820.18
98,500,R,0.06,378.17
seed,sample_size,language,runtime_min,peak_memory_MB
90,500,Julia,1.06,816.64
90,500,R,0.05,393.02
seed,sample_size,language,runtime_min,peak_memory_MB
100,500,Julia,1.06,835.08
100,500,R,0.06,384.4
seed,sample_size,language,runtime_min,peak_memory_MB
92,500,Julia,1.06,820.35
92,500,R,0.06,383.61
seed,sample_size,language,runtime_min,peak_memory_MB
91,500,Julia,1.06,848.09
91,500,R,0.06,384.89
seed,sample_size,language,runtime_min,peak_memory_MB
36,500,Julia,1.16,902.64
36,500,R,0.12,390.88
seed,sample_size,language,runtime_min,peak_memory_MB
26,500,Julia,1.16,911.29
