"followup_time","survival_diff","2.5%","97.5%"
0,0.00195996638349916,-0.00813224248437988,0.0199913068518454
1,0.00342500779328159,-0.0141803170459192,0.0352891397929561
2,0.0045897558213438,-0.0191432105085325,0.0475503592099158
3,0.00557123229126733,-0.0236346182431283,0.0583060755456931
4,0.00644565244818363,-0.0276878122183667,0.0678353458807334
5,0.00726772482307003,-0.0314821752845337,0.0761828674046853
6,0.00808185334823519,-0.0351611590816339,0.0835986630533089
7,0.00892962442765732,-0.0388501104060495,0.0902792117503141
8,0.00985584928471916,-0.0429136623839637,0.0963819395308482
9,0.0109144452170638,-0.0479307570135088,0.102057522706038
